public_measurement_id,measurement_uuid,date,environment_group,environment_type,country,region,city,location_visibility,laeq_db_a,lafmax_db_a,duration_seconds,quality_classification,attribution_mode,app_version,record_path
SPL-2026-000003,2283660b-fef5-43a1-9ab8-4e1239be0401,2026-08-25,residential,home,,,,none,83.61985473220274,97.56728862128459,258.9999999999904,indicative,anonymous,1.0,measurements/2026/08/SPL-2026-000003/measurement.json
SPL-2026-000004,83ebdc13-1630-47e6-9a6e-d0622be95482,2026-08-22,retail_commercial,outdoor_market,United Kingdom,,London,city,63.72514033020926,84.08901517469741,181.099999999994,indicative,name,1.0,measurements/2026/08/SPL-2026-000004/measurement.json
SPL-2026-000006,2cfddf02-287d-494b-95e4-3a327255ea98,2026-08-15,food_drink,pub,Italy,Campania,Sapri,city,49.29052925786647,83.48019783637821,2639.399999998695,indicative,name,1.0,measurements/2026/08/SPL-2026-000006/measurement.json
SPL-2026-000007,d278796c-4d74-4eaf-a350-c347edb9cd93,2026-08-13,music_nightlife,nightclub,Italy,Campania,Villammare,city,89.31230749640903,106.51293066128191,3251.4999999981383,indicative,name,1.0,measurements/2026/08/SPL-2026-000007/measurement.json
